iterate,power,delta,band
1,0.5,0,0.1
2,0.5,0,0.11
3,0.5,0,0.12000000000000001
4,0.5,0,0.13
5,0.5,0,0.14
6,0.5,0,0.15000000000000002
7,0.5,0,0.16
8,0.5,0,0.17
9,0.5,0,0.18
10,0.5,0,0.19
11,0.5,0,0.2
12,0.5,0,0.21000000000000002
13,0.5,0,0.22
14,0.5,0,0.23
15,0.5,0,0.24000000000000002
16,0.5,0,0.25
17,0.5,0,0.26
18,0.5,0,0.27
19,0.5,0,0.28
20,0.5,0,0.29000000000000004
21,0.5,0,0.30000000000000004
22,0.5,0,0.31
23,0.5,0,0.32
24,0.5,0,0.33
25,0.5,0,0.33999999999999997
26,0.5,0,0.35
27,0.5,0,0.36
28,0.5,0,0.37
29,0.5,0,0.38
30,0.5,0,0.39
31,0.5,0,0.4
32,0.5,0,0.41000000000000003
33,0.5,0,0.42000000000000004
34,0.5,0,0.43000000000000005
35,0.5,0,0.44000000000000006
36,0.5,0,0.45000000000000007
37,0.5,0,0.45999999999999996
38,0.5,0,0.47
39,0.5,0,0.48
40,0.5,0,0.49
41,0.5,0,0.5
45,0.5,0.05,0.13
46,0.5,0.05,0.14
47,0.5,0.05,0.15000000000000002
48,0.5,0.05,0.16
49,0.5,0.05,0.17
50,0.5,0.05,0.18
51,0.5,0.05,0.19
52,0.5,0.05,0.2
53,0.5,0.05,0.21000000000000002
54,0.5,0.05,0.22
55,0.5,0.05,0.23
56,0.5,0.05,0.24000000000000002
57,0.5,0.05,0.25
58,0.5,0.05,0.26
59,0.5,0.05,0.27
60,0.5,0.05,0.28
61,0.5,0.05,0.29000000000000004
62,0.5,0.05,0.30000000000000004
63,0.5,0.05,0.31
64,0.5,0.05,0.32
65,0.5,0.05,0.33
66,0.5,0.05,0.33999999999999997
67,0.5,0.05,0.35
68,0.5,0.05,0.36
69,0.5,0.05,0.37
70,0.5,0.05,0.38
71,0.5,0.05,0.39
72,0.5,0.05,0.4
73,0.5,0.05,0.41000000000000003
74,0.5,0.05,0.42000000000000004
75,0.5,0.05,0.43000000000000005
76,0.5,0.05,0.44000000000000006
77,0.5,0.05,0.45000000000000007
78,0.5,0.05,0.45999999999999996
79,0.5,0.05,0.47
80,0.5,0.05,0.48
81,0.5,0.05,0.49
82,0.5,0.05,0.5
83,0.5,0.1,0.1
84,0.5,0.1,0.11
86,0.5,0.1,0.13
101,0.5,0.1,0.28
102,0.5,0.1,0.29000000000000004
103,0.5,0.1,0.30000000000000004
104,0.5,0.1,0.31
105,0.5,0.1,0.32
106,0.5,0.1,0.33
107,0.5,0.1,0.33999999999999997
108,0.5,0.1,0.35
109,0.5,0.1,0.36
110,0.5,0.1,0.37
111,0.5,0.1,0.38
112,0.5,0.1,0.39
113,0.5,0.1,0.4
114,0.5,0.1,0.41000000000000003
115,0.5,0.1,0.42000000000000004
116,0.5,0.1,0.43000000000000005
117,0.5,0.1,0.44000000000000006
118,0.5,0.1,0.45000000000000007
119,0.5,0.1,0.45999999999999996
120,0.5,0.1,0.47
121,0.5,0.1,0.48
122,0.5,0.1,0.49
123,0.5,0.1,0.5
124,0.5,0.15000000000000002,0.1
125,0.5,0.15000000000000002,0.11
126,0.5,0.15000000000000002,0.12000000000000001
127,0.5,0.15000000000000002,0.13
128,0.5,0.15000000000000002,0.14
129,0.5,0.15000000000000002,0.15000000000000002
130,0.5,0.15000000000000002,0.16
131,0.5,0.15000000000000002,0.17
132,0.5,0.15000000000000002,0.18
165,0.5,0.2,0.1
166,0.5,0.2,0.11
167,0.5,0.2,0.12000000000000001
168,0.5,0.2,0.13
169,0.5,0.2,0.14
170,0.5,0.2,0.15000000000000002
171,0.5,0.2,0.16
172,0.5,0.2,0.17
173,0.5,0.2,0.18
174,0.5,0.2,0.19
175,0.5,0.2,0.2
176,0.5,0.2,0.21000000000000002
178,0.5,0.2,0.23
179,0.5,0.2,0.24000000000000002
206,0.5,0.25,0.1
207,0.5,0.25,0.11
208,0.5,0.25,0.12000000000000001
209,0.5,0.25,0.13
210,0.5,0.25,0.14
211,0.5,0.25,0.15000000000000002
212,0.5,0.25,0.16
213,0.5,0.25,0.17
214,0.5,0.25,0.18
215,0.5,0.25,0.19
216,0.5,0.25,0.2
